booking_id,passenger_key,flight_key,status,booking_date,seat_number
B1199,,SJ075_2026-04-20_092641,PENDING,2025-12-13 11:37:36.951,30E
B1200,61.0,UK177_2026-04-20_062141,CONFIRMED,2025-09-17 11:37:36.951,16B
B1201,19.0,UK206_2026-04-20_060141,CANCELLED,2026-02-01 11:37:36.951,3A
B1202,554.0,UK079_2026-04-20_064341,CANCELLED,2025-04-29 11:37:36.951,29C
B1203,348.0,UK040_2026-04-20_091541,CONFIRMED,2025-06-21 11:37:36.951,3B
B1204,725.0,AI034_2026-04-20_054841,CONFIRMED,2025-07-25 11:37:36.951,30A
B1205,557.0,UK034_2026-04-20_064741,CONFIRMED,2025-10-18 11:37:36.951,23F
B1206,510.0,AI088_2026-04-20_063441,CONFIRMED,2025-07-02 11:37:36.951,13A
B1207,37.0,AI128_2026-04-20_060741,PENDING,2025-06-11 11:37:36.951,26A
B1208,258.0,SJ052_2026-04-20_082041,UNKNOWN,2025-07-22 11:37:36.951,9A
B1209,734.0,AI233_2026-04-20_080441,PENDING,2025-12-15 11:37:36.951,3A
B1210,546.0,AI012_2026-04-20_054441,PENDING,2026-01-20 11:37:36.951,3C
B1211,541.0,AI084_2026-04-20_083141,CONFIRMED,2025-07-07 11:37:36.951,34A
B1212,,6F126_2026-04-20_082141,PENDING,2025-07-08 11:37:36.951,34B
B1213,303.0,SJ061_2026-04-20_063841,CONFIRMED,2025-06-16 11:37:36.951,2E
B1214,172.0,UK194_2026-04-20_082641,UNKNOWN,2025-08-14 11:37:36.951,23B
B1215,605.0,AI135_2026-04-20_064041,CANCELLED,2025-08-08 11:37:36.951,28C
B1216,222.0,6F238_2026-04-20_083141,CONFIRMED,2025-12-09 11:37:36.951,10A
B1217,68.0,6F092_2026-04-20_083941,CANCELLED,2026-03-19 11:37:36.951,32C
B1218,438.0,AI213_2026-04-20_080341,PENDING,2025-11-13 11:37:36.951,2D
B1219,869.0,UK193_2026-04-20_083941,CANCELLED,2026-02-15 11:37:36.951,1B
B1220,512.0,6F178_2026-04-20_044841,PENDING,2026-04-04 11:37:36.951,29C
B1221,93.0,AI158_2026-04-20_060441,CONFIRMED,2026-03-06 11:37:36.951,19D
B1222,470.0,UK208_2026-04-20_035441,PENDING,2026-03-30 11:37:36.951,8A
B1223,676.0,6F056_2026-04-20_070041,UNKNOWN,2026-04-09 11:37:36.951,15A
B1224,161.0,UK185_2026-04-20_073141,CONFIRMED,2025-10-26 11:37:36.951,1E
B1225,218.0,AI163_2026-04-20_074541,PENDING,2026-01-13 11:37:36.951,4D
B1226,815.0,AI112_2026-04-20_044141,CONFIRMED,2025-08-23 11:37:36.951,15C
B1227,54.0,AI227_2026-04-20_043141,CANCELLED,2025-10-23 11:37:36.951,12A
B1228,771.0,SJ083_2026-04-20_051341,CONFIRMED,2026-04-17 11:37:36.951,29D
B1229,91.0,UK073_2026-04-20_035941,CONFIRMED,2026-02-07 11:37:36.951,13F
B1230,853.0,6F169_2026-04-20_032741,PENDING,2025-04-29 11:37:36.951,6C
B1231,777.0,UK154_2026-04-20_040041,CANCELLED,2026-04-06 11:37:36.951,27D
B1232,853.0,SJ169_2026-04-20_031041,CONFIRMED,2025-10-06 11:37:36.951,32F
B1233,453.0,6F187_2026-04-20_031941,CANCELLED,2025-05-13 11:37:36.951,5F
B1234,,UK210_2026-04-20_063541,CANCELLED,2025-11-21 11:37:36.951,33A
B1236,470.0,AI062_2026-04-20_064941,CONFIRMED,2025-07-05 11:37:36.951,25A
B1237,675.0,AI047_2026-04-20_063641,UNKNOWN,2025-11-16 11:37:36.951,15B
B1238,268.0,SJ186_2026-04-20_051141,UNKNOWN,2025-10-20 11:37:36.951,8E
B1239,192.0,AI217_2026-04-20_045741,CANCELLED,2025-11-17 11:37:36.951,30A
B1240,113.0,UK100_2026-04-20_044041,CONFIRMED,2025-12-31 11:37:36.951,17A
B1241,210.0,UK116_2026-04-20_031841,CONFIRMED,2025-12-16 11:37:36.951,10A
B1242,539.0,6F036_2026-04-20_021441,CANCELLED,2025-12-01 11:37:36.951,26C
B1243,592.0,AI175_2026-04-20_030841,CANCELLED,2026-01-22 11:37:36.951,29E
B1244,352.0,UK051_2026-04-20_035541,CONFIRMED,2025-08-18 11:37:36.951,27D
B1245,129.0,6F201_2026-04-20_020941,UNKNOWN,2026-04-17 11:37:36.951,26A
B1246,494.0,6F230_2026-04-20_033441,CONFIRMED,2026-04-09 11:37:36.951,33B
B1247,355.0,SJ138_2026-04-20_055541,CANCELLED,2025-08-13 11:37:36.951,15F
B1248,244.0,AI246_2026-04-20_032241,PENDING,2026-03-04 11:37:36.951,16B
B1249,679.0,6F179_2026-04-20_022541,CANCELLED,2025-06-06 11:37:36.951,26B
B1250,11.0,6F031_2026-04-20_020041,CANCELLED,2026-01-28 11:37:36.951,16F
B1251,773.0,UK015_2026-04-20_044641,PENDING,2025-08-30 11:37:36.951,29A
B1252,353.0,UK001_2026-04-20_050641,CANCELLED,2025-04-21 11:37:36.951,27C
B1253,304.0,6F133_2026-04-20_043841,CANCELLED,2026-02-27 11:37:36.951,15E
B1254,462.0,6F143_2026-04-20_020941,CANCELLED,2025-07-22 11:37:36.951,5D
B1255,98.0,UK165_2026-04-20_015141,CANCELLED,2025-09-22 11:37:36.951,23F
B1256,30.0,6F083_2026-04-20_052441,CANCELLED,2025-08-10 11:37:36.951,22B
B1257,69.0,AI082_2026-04-20_031941,CANCELLED,2025-08-19 11:37:36.951,11C
B1258,156.0,AI164_2026-04-20_035741,CANCELLED,2025-10-28 11:37:36.951,21F
B1259,756.0,SJ155_2026-04-20_003841,CANCELLED,2026-01-19 11:37:36.951,31F
B1260,64.0,AI189_2026-04-20_034441,CANCELLED,2026-01-04 11:37:36.951,1D
B1261,726.0,SJ057_2026-04-20_021741,CONFIRMED,2025-12-21 11:37:36.951,34A
B1262,326.0,SJ198_2026-04-20_004741,CONFIRMED,2025-05-07 11:37:36.951,16F
B1263,585.0,6F122_2026-04-20_014441,CANCELLED,2026-01-03 11:37:36.951,6C
B1264,393.0,SJ097_2026-04-20_023741,CONFIRMED,2026-04-15 11:37:36.951,12A
B1265,832.0,UK203_2026-04-20_041241,PENDING,2025-08-06 11:37:36.951,28F
B1266,891.0,UK093_2026-04-20_043141,CONFIRMED,2026-01-16 11:37:36.951,27F
B1267,92.0,AI205_2026-04-20_032641,CANCELLED,2025-05-21 11:37:36.951,32A
B1268,593.0,AI102_2026-04-20_001741,UNKNOWN,2026-01-16 11:37:36.951,12A
B1269,8.0,6F046_2026-04-20_012741,CONFIRMED,2025-09-06 11:37:36.951,4C
B1270,523.0,SJ017_2026-04-20_025741,UNKNOWN,2025-06-02 11:37:36.951,22E
B1271,627.0,6F156_2026-04-20_022341,PENDING,2025-10-20 11:37:36.951,28B
B1272,27.0,AI068_2026-04-20_024841,PENDING,2025-07-18 11:37:36.951,19A
B1273,799.0,AI150_2026-04-20_035141,UNKNOWN,2025-06-05 11:37:36.951,28B
B1274,106.0,UK008_2026-04-20_035741,PENDING,2025-10-15 11:37:36.951,20D
B1275,421.0,6F166_2026-04-20_000341,PENDING,2025-07-11 11:37:36.951,18F
B1276,824.0,6F177_2026-04-20_020341,CONFIRMED,2025-07-15 11:37:36.951,1A
B1277,,AI196_2026-04-20_025241,PENDING,2026-01-19 11:37:36.951,12E
B1278,354.0,SJ191_2026-04-20_030141,CONFIRMED,2025-08-09 11:37:36.951,5B
B1279,573.0,6F019_2026-04-20_001941,UNKNOWN,2025-05-10 11:37:36.951,28C
B1280,614.0,AI226_2026-04-20_011941,CONFIRMED,2026-04-12 11:37:36.951,33B
B1281,144.0,SJ207_2026-04-20_005241,CANCELLED,2026-01-21 11:37:36.951,4A
B1282,302.0,AI009_2026-04-20_013141,CANCELLED,2025-12-30 11:37:36.951,8B
B1283,767.0,AI103_2026-04-20_032641,UNKNOWN,2025-05-08 11:37:36.951,29D
B1284,236.0,SJ127_2026-04-20_012141,CANCELLED,2026-02-22 11:37:36.951,25F
B1285,75.0,UK188_2026-04-20_025541,CANCELLED,2026-03-26 11:37:36.951,25B
B1286,674.0,6F010_2026-04-19_235341,UNKNOWN,2025-09-25 11:37:36.951,33B
B1287,401.0,SJ098_2026-04-20_030241,CANCELLED,2025-12-13 11:37:36.951,5F
B1288,846.0,6F058_2026-04-20_010441,PENDING,2025-12-11 11:37:36.951,18C
B1289,157.0,SJ030_2026-04-20_023641,PENDING,2026-03-23 11:37:36.951,24F
B1290,212.0,UK175_2026-04-19_235641,CANCELLED,2025-07-26 11:37:36.951,16F
B1291,648.0,SJ108_2026-04-20_004041,PENDING,2026-04-01 11:37:36.951,28E
B1292,70.0,6F075_2026-04-19_222041,CONFIRMED,2025-08-03 11:37:36.951,7C
B1293,244.0,UK222_2026-04-20_012241,CONFIRMED,2025-08-31 11:37:36.951,25F
B1295,567.0,AI096_2026-04-19_214841,CANCELLED,2025-12-29 11:37:36.951,14B
B1296,57.0,AI216_2026-04-20_011041,CANCELLED,2025-12-23 11:37:36.951,1B
B1297,780.0,6F193_2026-04-20_003441,PENDING,2026-01-23 11:37:36.951,8A
B1298,290.0,SJ194_2026-04-19_224641,PENDING,2026-01-02 11:37:36.951,6C
