flight_key,flight_id,airline_key,route_key,date_key,departure_time,arrival_time,duration_minutes,is_overnight,is_anomaly,is_airline_missing
SJ003_2026-04-20_195041,SJ003,1,21,1,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,42.0,False,False,False
6F028_2026-04-20_194941,6F028,4,15,1,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,120.0,False,False,False
UK036_2026-04-20_194841,UK036,3,22,1,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,264.0,True,False,False
SJ160_2026-04-20_194541,SJ160,1,23,1,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,45.0,False,False,False
6F151_2026-04-20_194441,6F151,4,20,1,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,140.0,False,False,False
UK140_2026-04-20_193741,UK140,3,23,1,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,83.0,False,False,False
AI115_2026-04-20_193741,AI115,2,23,1,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,289.0,True,False,False
AI132_2026-04-20_193241,AI132,2,6,1,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,129.0,False,False,False
UK209_2026-04-20_190241,UK209,5,23,1,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,165.0,False,False,True
SJ043_2026-04-20_185941,SJ043,5,11,1,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,129.0,False,False,True
UK176_2026-04-20_184141,UK176,3,24,1,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,False,False,False
UK216_2026-04-20_183341,UK216,3,19,1,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,194.0,False,False,False
UK150_2026-04-20_183141,UK150,3,18,1,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,30.0,False,False,False
UK145_2026-04-20_183041,UK145,3,5,1,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,131.0,False,False,False
6F270_2026-04-20_181441,6F270,5,14,1,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,48.0,False,False,True
6F012_2026-04-20_180641,6F012,4,20,1,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,205.0,False,False,False
SJ236_2026-04-20_180341,SJ236,1,3,1,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,239.0,False,False,False
6F149_2026-04-20_175741,6F149,4,25,1,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,165.0,False,False,False
UK004_2026-04-20_175641,UK004,3,2,1,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,34.0,False,False,False
UK010_2026-04-20_175341,UK010,3,19,1,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,167.0,False,False,False
UK215_2026-04-20_173841,UK215,3,8,1,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,132.0,False,False,False
SJ116_2026-04-20_173341,SJ116,1,15,1,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,89.0,False,False,False
SJ023_2026-04-20_172741,SJ023,1,14,1,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,102.0,False,False,False
UK152_2026-04-20_172441,UK152,3,2,1,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,169.0,False,False,False
SJ202_2026-04-20_172141,SJ202,1,20,1,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,107.0,False,False,False
6F043_2026-04-20_171741,6F043,4,5,1,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,86.0,False,False,False
UK173_2026-04-20_170641,UK173,3,23,1,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,256.0,False,False,False
SJ081_2026-04-20_170441,SJ081,1,26,1,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,109.0,False,False,False
UK153_2026-04-20_165241,UK153,3,20,1,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,241.0,False,False,False
UK187_2026-04-20_165241,UK187,3,6,1,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,110.0,False,False,False
UK055_2026-04-20_164841,UK055,3,13,1,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,163.0,False,False,False
UK181_2026-04-20_164441,UK181,3,11,1,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,162.0,False,False,False
UK074_2026-04-20_164441,UK074,3,8,1,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,117.0,False,False,False
SJ068_2026-04-20_164441,SJ068,1,6,1,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,124.0,False,False,False
AI242_2026-04-20_164141,AI242,5,25,1,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,62.0,False,False,True
SJ237_2026-04-20_163241,SJ237,1,2,1,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,148.0,False,False,False
6F194_2026-04-20_162941,6F194,4,2,1,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,118.0,False,False,False
UK063_2026-04-20_162941,UK063,3,10,1,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,72.0,False,False,False
UK068_2026-04-20_162841,UK068,3,27,1,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,101.0,False,False,False
UK224_2026-04-20_162541,UK224,5,1,1,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,239.0,False,False,True
UK077_2026-04-20_162241,UK077,5,17,1,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,98.0,False,False,True
UK207_2026-04-20_162141,UK207,3,21,1,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,75.0,False,False,False
AI221_2026-04-20_161841,AI221,2,19,1,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,156.0,False,False,False
UK109_2026-04-20_160641,UK109,3,6,1,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,60.00496666666666,False,False,False
UK089_2026-04-20_153841,UK089,3,5,1,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,252.0,False,False,False
AI072_2026-04-20_153441,AI072,2,25,1,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,58.0,False,False,False
UK131_2026-04-20_153341,UK131,3,8,1,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,246.0,False,False,False
SJ150_2026-04-20_153341,SJ150,1,5,1,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,210.0,False,False,False
6F097_2026-04-20_153241,6F097,4,6,1,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,77.0,False,False,False
6F123_2026-04-20_152641,6F123,4,4,1,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,106.0,False,False,False
6F017_2026-04-20_152541,6F017,4,28,1,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,False,False,False
6F245_2026-04-20_152541,6F245,4,28,1,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,False,False,False
6F180_2026-04-20_152441,6F180,4,23,1,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,264.0,False,False,False
6F152_2026-04-20_152141,6F152,4,12,1,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,124.0,False,False,False
SJ034_2026-04-20_152041,SJ034,1,3,1,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,291.0,False,False,False
SJ142_2026-04-20_151441,SJ142,1,28,1,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,102.0,False,False,False
UK189_2026-04-20_150741,UK189,3,27,1,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,224.0,False,False,False
SJ044_2026-04-20_150641,SJ044,1,18,1,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,157.0,False,False,False
SJ196_2026-04-20_145841,SJ196,1,4,1,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,166.0,False,False,False
6F188_2026-04-20_145741,6F188,4,4,1,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,282.0,False,False,False
6F181_2026-04-20_145541,6F181,4,16,1,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,108.0,False,False,False
6F077_2026-04-20_145541,6F077,4,12,1,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,258.0,False,False,False
SJ154_2026-04-20_144741,SJ154,1,29,1,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,99.0,False,False,False
AI025_2026-04-20_144641,AI025,2,13,1,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,145.0,False,False,False
AI094_2026-04-20_144441,AI094,2,7,1,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,60.00496666666666,False,False,False
6F191_2026-04-20_144141,6F191,4,30,1,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,30.0,False,False,False
SJ085_2026-04-20_144141,SJ085,1,27,1,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,270.0,False,False,False
6F261_2026-04-20_143141,6F261,5,12,1,2026-04-20 14:31:41.703,2026-04-20 17:29:41.703,178.0,False,False,True
6F129_2026-04-20_142841,6F129,4,18,1,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,139.0,False,False,False
6F254_2026-04-20_142641,6F254,5,23,1,2026-04-20 14:26:41.703,2026-04-20 18:01:41.703,215.0,False,False,True
SJ185_2026-04-20_142141,SJ185,1,2,1,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,60.0,False,False,False
6F030_2026-04-20_142041,6F030,4,8,1,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,170.0,False,False,False
SJ222_2026-04-20_141541,SJ222,1,8,1,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,174.0,False,False,False
6F259_2026-04-20_141041,6F259,5,8,1,2026-04-20 14:10:41.703,2026-04-20 15:21:41.703,71.0,False,False,True
UK083_2026-04-20_141041,UK083,3,4,1,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,49.0,False,False,False
6F051_2026-04-20_135841,6F051,4,6,1,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,120.0,False,False,False
SJ088_2026-04-20_135441,SJ088,1,1,1,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,32.0,False,False,False
6F146_2026-04-20_135141,6F146,4,14,1,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,76.0,False,False,False
6F047_2026-04-20_135041,6F047,4,11,1,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,125.0,False,False,False
AI077_2026-04-20_134541,AI077,2,20,1,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,66.0,False,False,False
UK134_2026-04-20_134441,UK134,3,15,1,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,222.0,False,False,False
AI056_2026-04-20_134441,AI056,2,9,1,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,235.0,False,False,False
UK141_2026-04-20_133841,UK141,5,14,1,2026-04-20 13:38:41.703,2026-04-20 15:59:41.703,141.0,False,False,True
AI030_2026-04-20_133341,AI030,2,20,1,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,199.0,False,False,False
AI029_2026-04-20_132941,AI029,2,11,1,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,264.0,False,False,False
SJ167_2026-04-20_131841,SJ167,1,21,1,2026-04-20 13:18:41.703,2026-04-20 14:12:41.703,54.0,False,False,False
UK017_2026-04-20_131441,UK017,3,29,1,2026-04-20 13:14:41.701,2026-04-20 14:49:41.701,95.0,False,False,False
6F229_2026-04-20_131041,6F229,4,11,1,2026-04-20 13:10:41.704,2026-04-20 14:30:41.704,80.0,False,False,False
SJ117_2026-04-20_131041,SJ117,1,23,1,2026-04-20 13:10:41.702,2026-04-20 17:06:41.702,236.0,False,False,False
6F184_2026-04-20_130541,6F184,4,3,1,2026-04-20 13:05:41.703,2026-04-20 16:04:41.703,179.0,False,False,False
AI031_2026-04-20_130541,AI031,2,9,1,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,186.0,False,False,False
AI178_2026-04-20_130441,AI178,2,22,1,2026-04-20 13:04:41.703,2026-04-20 14:03:41.703,59.0,False,False,False
SJ089_2026-04-20_124241,SJ089,1,15,1,2026-04-20 12:42:41.702,2026-04-20 17:15:41.702,273.0,False,False,False
UK166_2026-04-20_123941,UK166,3,14,1,2026-04-20 12:39:41.703,2026-04-20 17:32:41.703,293.0,False,False,False
UK104_2026-04-20_123041,UK104,3,10,1,2026-04-20 12:30:41.702,2026-04-20 13:52:41.702,82.0,False,False,False
6F168_2026-04-20_121841,6F168,4,13,1,2026-04-20 12:18:41.703,2026-04-20 15:58:41.703,220.0,False,False,False
AI222_2026-04-20_121041,AI222,5,8,1,2026-04-20 12:10:41.703,2026-04-20 13:14:41.703,64.0,False,False,True
SJ025_2026-04-20_120241,SJ025,1,2,1,2026-04-20 12:02:41.701,2026-04-20 15:29:41.701,207.0,False,False,False
6F255_2026-04-20_115941,6F255,5,10,1,2026-04-20 11:59:41.703,2026-04-20 15:33:41.703,214.0,False,False,True
UK228_2026-04-20_115841,UK228,3,9,1,2026-04-20 11:58:41.704,2026-04-20 15:08:41.704,190.0,False,False,False
6F158_2026-04-20_115841,6F158,4,1,1,2026-04-20 11:58:41.703,2026-04-20 16:04:41.703,246.0,False,False,False
SJ218_2026-04-20_115841,SJ218,1,4,1,2026-04-20 11:58:41.703,2026-04-20 15:03:41.703,185.0,False,False,False
6F034_2026-04-20_115341,6F034,4,8,1,2026-04-20 11:53:41.701,2026-04-20 12:49:41.701,56.0,False,False,False
UK156_2026-04-20_115041,UK156,3,23,1,2026-04-20 11:50:41.703,2026-04-20 15:54:41.703,244.0,False,False,False
6F105_2026-04-20_114641,6F105,4,6,1,2026-04-20 11:46:41.702,2026-04-20 12:58:41.702,72.0,False,False,False
6F073_2026-04-20_113841,6F073,4,18,1,2026-04-20 11:38:41.702,2026-04-20 15:18:41.702,220.0,False,False,False
SJ074_2026-04-20_112141,SJ074,1,18,1,2026-04-20 11:21:41.701,2026-04-20 12:02:41.701,41.0,False,False,False
6F234_2026-04-20_112041,6F234,4,8,1,2026-04-20 11:20:41.704,2026-04-20 14:11:41.704,171.0,False,False,False
6F068_2026-04-20_111741,6F068,4,29,1,2026-04-20 11:17:41.701,2026-04-20 15:06:41.701,229.0,False,False,False
6F074_2026-04-20_110941,6F074,4,17,1,2026-04-20 11:09:41.702,2026-04-20 14:29:41.702,200.0,False,False,False
AI038_2026-04-20_110541,AI038,2,14,1,2026-04-20 11:05:41.701,2026-04-20 15:44:41.701,279.0,False,False,False
AI079_2026-04-20_110441,AI079,2,22,1,2026-04-20 11:04:41.702,2026-04-20 13:19:41.702,135.0,False,False,False
SJ018_2026-04-20_105841,SJ018,1,2,1,2026-04-20 10:58:41.701,2026-04-20 13:31:41.701,153.0,False,False,False
6F018_2026-04-20_105741,6F018,4,7,1,2026-04-20 10:57:41.701,2026-04-20 11:43:41.701,46.0,False,False,False
AI091_2026-04-20_105241,AI091,2,1,1,2026-04-20 10:52:41.702,2026-04-20 15:15:41.702,263.0,False,False,False
UK071_2026-04-20_105041,UK071,3,4,1,2026-04-20 10:50:41.701,2026-04-20 14:06:41.701,196.0,False,False,False
AI019_2026-04-20_104941,AI019,2,2,1,2026-04-20 10:49:41.701,2026-04-20 11:51:41.701,62.0,False,False,False
UK212_2026-04-20_104641,UK212,3,14,1,2026-04-20 10:46:41.704,2026-04-20 11:31:41.704,45.0,False,False,False
AI146_2026-04-20_104041,AI146,2,30,1,2026-04-20 10:40:41.702,2026-04-20 13:46:41.702,186.0,False,False,False
6F232_2026-04-20_103941,6F232,4,23,1,2026-04-20 10:39:41.704,2026-04-20 12:22:41.704,103.0,False,False,False
6F084_2026-04-20_103441,6F084,4,20,1,2026-04-20 10:34:41.702,2026-04-20 11:34:42.000,60.00496666666666,False,False,False
AI129_2026-04-20_102941,AI129,2,2,1,2026-04-20 10:29:41.702,2026-04-20 13:38:41.702,189.0,False,False,False
AI240_2026-04-20_101941,AI240,2,11,1,2026-04-20 10:19:41.704,2026-04-20 12:46:41.704,147.0,False,False,False
6F091_2026-04-20_101041,6F091,4,25,1,2026-04-20 10:10:41.702,2026-04-20 11:36:41.702,86.0,False,False,False
UK133_2026-04-20_100441,UK133,3,8,1,2026-04-20 10:04:41.702,2026-04-20 13:16:41.702,192.0,False,False,False
SJ007_2026-04-20_100341,SJ007,1,2,1,2026-04-20 10:03:41.701,2026-04-20 14:53:41.701,290.0,False,False,False
SJ141_2026-04-20_100041,SJ141,1,12,1,2026-04-20 10:00:41.702,2026-04-20 13:37:41.702,217.0,False,False,False
6F049_2026-04-20_100041,6F049,4,13,1,2026-04-20 10:00:41.701,2026-04-20 13:13:41.701,193.0,False,False,False
SJ235_2026-04-20_095741,SJ235,1,8,1,2026-04-20 09:57:41.704,2026-04-20 13:45:41.704,228.0,False,False,False
UK087_2026-04-20_094941,UK087,3,14,1,2026-04-20 09:49:41.702,2026-04-20 13:17:41.702,208.0,False,False,False
UK170_2026-04-20_094241,UK170,3,26,1,2026-04-20 09:42:41.703,2026-04-20 11:32:41.703,110.0,False,False,False
SJ078_2026-04-20_094141,SJ078,1,4,1,2026-04-20 09:41:41.701,2026-04-20 12:49:41.701,188.0,False,False,False
SJ075_2026-04-20_092641,SJ075,1,23,1,2026-04-20 09:26:41.701,2026-04-20 11:03:41.701,97.0,False,False,False
AI159_2026-04-20_092341,AI159,2,24,1,2026-04-20 09:23:41.703,2026-04-20 11:36:41.703,133.0,False,False,False
UK120_2026-04-20_091941,UK120,3,13,1,2026-04-20 09:19:41.702,2026-04-20 13:30:41.702,251.0,False,False,False
AI059_2026-04-20_091641,AI059,2,12,1,2026-04-20 09:16:41.701,2026-04-20 11:43:41.701,147.0,False,False,False
UK040_2026-04-20_091541,UK040,3,15,1,2026-04-20 09:15:41.701,2026-04-20 10:32:41.701,77.0,False,False,False
AI044_2026-04-20_090341,AI044,5,23,1,2026-04-20 09:03:41.701,2026-04-20 12:36:41.701,213.0,False,False,True
AI078_2026-04-20_085841,AI078,2,10,1,2026-04-20 08:58:41.702,2026-04-20 13:28:41.702,270.0,False,False,False
SJ226_2026-04-20_084741,SJ226,1,17,1,2026-04-20 08:47:41.704,2026-04-20 12:54:41.704,247.0,False,False,False
6F209_2026-04-20_084041,6F209,4,21,1,2026-04-20 08:40:41.703,2026-04-20 13:40:41.703,300.0,False,False,False
UK193_2026-04-20_083941,UK193,3,13,1,2026-04-20 08:39:41.703,2026-04-20 09:14:41.703,35.0,False,False,False
6F092_2026-04-20_083941,6F092,4,23,1,2026-04-20 08:39:41.702,2026-04-20 09:15:41.702,36.0,False,False,False
AI208_2026-04-20_083841,AI208,2,6,1,2026-04-20 08:38:41.703,2026-04-20 11:52:41.703,194.0,False,False,False
SJ227_2026-04-20_083241,SJ227,1,2,1,2026-04-20 08:32:41.704,2026-04-20 12:53:41.704,261.0,False,False,False
6F238_2026-04-20_083141,6F238,4,8,1,2026-04-20 08:31:41.704,2026-04-20 09:19:41.704,48.0,False,False,False
AI084_2026-04-20_083141,AI084,2,5,1,2026-04-20 08:31:41.702,2026-04-20 09:46:41.702,75.0,False,False,False
SJ228_2026-04-20_082941,SJ228,1,2,1,2026-04-20 08:29:41.704,2026-04-20 12:16:41.704,227.0,False,False,False
UK194_2026-04-20_082641,UK194,3,28,1,2026-04-20 08:26:41.703,2026-04-20 09:26:42.000,60.00495,False,False,False
6F126_2026-04-20_082141,6F126,4,1,1,2026-04-20 08:21:41.702,2026-04-20 09:39:41.702,78.0,False,False,False
SJ052_2026-04-20_082041,SJ052,1,23,1,2026-04-20 08:20:41.701,2026-04-20 09:57:41.701,97.0,False,False,False
AI233_2026-04-20_080441,AI233,2,6,1,2026-04-20 08:04:41.704,2026-04-20 09:52:41.704,108.0,False,False,False
AI213_2026-04-20_080341,AI213,2,15,1,2026-04-20 08:03:41.703,2026-04-20 09:14:41.703,71.0,False,False,False
UK076_2026-04-20_080341,UK076,3,21,1,2026-04-20 08:03:41.702,2026-04-20 12:26:41.702,263.0,False,False,False
SJ022_2026-04-20_075641,SJ022,1,7,1,2026-04-20 07:56:41.701,2026-04-20 11:07:41.701,191.0,False,False,False
SJ002_2026-04-20_075441,SJ002,1,10,1,2026-04-20 07:54:41.701,2026-04-20 12:40:41.701,286.0,False,False,False
AI163_2026-04-20_074541,AI163,2,14,1,2026-04-20 07:45:41.703,2026-04-20 08:46:41.703,61.0,False,False,False
UK229_2026-04-20_074041,UK229,5,13,1,2026-04-20 07:40:41.704,2026-04-20 11:57:41.704,257.0,False,False,True
UK185_2026-04-20_073141,UK185,3,9,1,2026-04-20 07:31:41.703,2026-04-20 08:48:41.703,77.0,False,False,False
6F029_2026-04-20_073141,6F029,4,26,1,2026-04-20 07:31:41.701,2026-04-20 11:45:41.701,254.0,False,False,False
6F056_2026-04-20_070041,6F056,4,16,1,2026-04-20 07:00:41.701,2026-04-20 08:49:41.701,109.0,False,False,False
AI062_2026-04-20_064941,AI062,2,11,1,2026-04-20 06:49:41.701,2026-04-20 07:25:41.701,36.0,False,False,False
UK034_2026-04-20_064741,UK034,3,7,1,2026-04-20 06:47:41.701,2026-04-20 10:11:41.701,204.0,False,False,False
UK079_2026-04-20_064341,UK079,3,7,1,2026-04-20 06:43:41.702,2026-04-20 10:34:41.702,231.0,False,False,False
AI135_2026-04-20_064041,AI135,2,6,1,2026-04-20 06:40:41.702,2026-04-20 09:21:41.702,161.0,False,False,False
