passenger_id,gender,age_band,passenger_key
P1441,M,26-35,402
P1442,M,60+,403
P1443,F,60+,404
P1444,M,46-60,405
P1445,F,60+,406
P1446,M,60+,407
P1447,M,60+,408
P1448,M,<18,409
P1449,F,46-60,410
P1450,M,60+,411
P1451,F,36-45,412
P1452,F,26-35,413
P1454,M,<18,414
P1455,M,60+,415
P1456,F,26-35,416
P1457,M,46-60,417
P1458,F,<18,418
P1459,F,18-25,419
P1460,M,46-60,420
P1461,M,<18,421
P1462,F,60+,422
P1463,F,<18,423
P1464,F,<18,424
P1465,M,18-25,425
P1466,F,60+,426
P1467,M,<18,427
P1468,F,26-35,428
P1469,F,60+,429
P1470,M,18-25,430
P1471,F,<18,431
P1472,M,46-60,432
P1473,M,26-35,433
P1474,F,26-35,434
P1475,M,26-35,435
P1476,M,60+,436
P1477,F,46-60,437
P1478,M,36-45,438
P1479,M,<18,439
P1480,M,60+,440
P1481,F,60+,441
P1482,M,26-35,442
P1484,F,60+,443
P1485,M,36-45,444
P1486,M,36-45,445
P1487,M,26-35,446
P1488,F,<18,447
P1489,M,<18,448
P1490,M,46-60,449
P1491,M,<18,450
P1492,M,26-35,451
P1493,M,60+,452
P1494,F,60+,453
P1495,F,<18,454
P1496,M,26-35,455
P1498,M,26-35,456
P1499,M,<18,457
P1500,F,60+,458
P1501,M,46-60,459
P1502,F,60+,460
P1503,F,26-35,461
P1505,F,60+,462
P1506,F,18-25,463
P1507,F,36-45,464
P1508,F,<18,465
P1509,M,60+,466
P1510,M,18-25,467
P1511,F,60+,468
P1512,M,46-60,469
P1513,M,36-45,470
P1514,M,60+,471
P1515,M,18-25,472
P1516,M,18-25,473
P1517,F,60+,474
P1518,M,36-45,475
P1519,M,<18,476
P1520,M,46-60,477
P1521,M,<18,478
P1522,F,18-25,479
P1523,F,60+,480
P1525,F,<18,481
P1526,M,60+,482
P1527,F,60+,483
P1528,M,60+,484
P1529,M,60+,485
P1530,M,<18,486
P1531,M,46-60,487
P1532,M,18-25,488
P1534,F,<18,489
P1535,F,60+,490
P1536,F,18-25,491
P1537,M,60+,492
P1539,M,60+,493
P1540,F,26-35,494
P1541,M,60+,495
P1542,M,46-60,496
P1544,M,<18,497
P1545,M,60+,498
P1546,F,<18,499
P1547,M,18-25,500
P1548,F,46-60,501
P1549,F,60+,502
P1550,F,46-60,503
P1551,M,18-25,504
P1552,M,<18,505
P1553,M,46-60,506
P1554,F,36-45,507
P1555,M,46-60,508
P1556,F,36-45,509
P1558,M,36-45,510
P1559,F,<18,511
P1560,M,<18,512
P1561,M,26-35,513
P1562,M,60+,514
P1564,M,18-25,515
P1565,F,60+,516
P1566,F,<18,517
P1567,F,60+,518
P1569,M,<18,519
P1570,M,<18,520
P1571,F,46-60,521
P1572,M,<18,522
P1573,F,36-45,523
P1574,F,36-45,524
P1575,M,<18,525
P1576,M,46-60,526
P1578,M,60+,527
P1579,F,<18,528
P1580,M,26-35,529
P1581,M,36-45,530
P1582,F,36-45,531
P1583,M,60+,532
P1584,F,<18,533
P1585,M,60+,534
P1586,F,60+,535
P1587,F,<18,536
P1590,M,36-45,537
P1592,M,36-45,538
P1593,F,60+,539
P1594,F,26-35,540
P1596,M,60+,541
P1597,F,46-60,542
P1598,M,36-45,543
P1599,M,60+,544
P1600,F,18-25,545
P1601,M,36-45,546
P1602,F,60+,547
P1604,F,<18,548
P1605,M,46-60,549
P1606,M,18-25,550
P1608,M,60+,551
P1609,F,36-45,552
P1610,M,<18,553
P1611,F,<18,554
P1612,F,60+,555
P1613,F,60+,556
P1614,F,60+,557
P1615,M,18-25,558
P1616,M,46-60,559
P1617,F,26-35,560
P1618,F,36-45,561
P1619,F,<18,562
P1620,M,46-60,563
P1621,M,36-45,564
P1623,M,26-35,565
P1624,F,36-45,566
P1625,F,60+,567
P1626,F,46-60,568
P1627,M,18-25,569
P1628,M,60+,570
P1629,M,60+,571
P1630,F,60+,572
P1631,F,36-45,573
P1632,M,18-25,574
P1633,F,18-25,575
P1635,M,18-25,576
P1636,F,46-60,577
P1637,M,46-60,578
P1639,M,<18,579
P1640,F,26-35,580
P1641,F,<18,581
P1643,M,<18,582
P1645,F,60+,583
P1647,M,60+,584
P1648,M,<18,585
P1649,M,60+,586
P1650,F,<18,587
P1651,M,60+,588
P1652,M,60+,589
P1653,F,18-25,590
P1654,M,26-35,591
P1655,M,<18,592
P1657,F,<18,593
P1659,F,46-60,594
P1660,F,46-60,595
P1661,F,26-35,596
P1662,F,36-45,597
P1663,F,60+,598
P1664,M,26-35,599
P1665,M,60+,600
P1666,F,<18,601
P1667,M,60+,602
P1668,M,26-35,603
P1669,F,60+,604
P1670,M,60+,605
P1671,M,26-35,606
P1672,M,<18,607
P1673,M,46-60,608
P1674,M,26-35,609
P1676,F,60+,610
P1677,F,60+,611
P1678,M,46-60,612
P1679,F,18-25,613
P1681,M,<18,614
P1682,M,46-60,615
P1684,F,<18,616
P1685,F,26-35,617
P1686,M,60+,618
P1687,F,18-25,619
P1688,M,46-60,620
P1690,F,60+,621
P1691,M,26-35,622
P1692,F,60+,623
P1693,M,60+,624
P1694,F,60+,625
P1695,M,46-60,626
P1696,M,26-35,627
P1697,F,46-60,628
P1698,F,60+,629
P1699,M,26-35,630
P1700,F,<18,631
P1701,F,18-25,632
P1702,M,46-60,633
P1703,M,<18,634
P1704,F,60+,635
P1705,M,60+,636
P1706,M,<18,637
P1707,M,<18,638
P1708,F,46-60,639
P1709,F,18-25,640
P1710,M,46-60,641
P1711,F,36-45,642
P1713,F,60+,643
P1714,M,60+,644
P1715,M,<18,645
P1717,M,60+,646
P1718,F,60+,647
P1719,F,<18,648
P1721,M,36-45,649
P1722,F,60+,650
P1723,M,<18,651
P1724,M,60+,652
P1725,M,60+,653
P1726,M,26-35,654
P1727,M,26-35,655
P1728,F,60+,656
P1729,F,36-45,657
P1730,M,26-35,658
P1731,M,26-35,659
P1735,F,<18,660
P1737,F,46-60,661
P1738,M,<18,662
P1739,F,46-60,663
P1740,M,<18,664
P1741,F,46-60,665
P1744,M,60+,666
P1745,F,<18,667
P1746,M,60+,668
P1747,M,60+,669
P1748,M,46-60,670
P1749,M,36-45,671
P1750,F,60+,672
P1752,M,46-60,673
P1753,F,60+,674
P1754,M,26-35,675
P1755,M,60+,676
P1756,F,46-60,677
P1757,M,60+,678
P1758,M,46-60,679
P1759,F,36-45,680
P1760,M,60+,681
P1761,M,60+,682
P1762,M,26-35,683
P1763,M,46-60,684
P1764,F,60+,685
P1765,F,<18,686
P1766,F,26-35,687
P1767,M,<18,688
P1768,M,<18,689
P1769,F,46-60,690
P1772,M,<18,691
P1773,M,60+,692
P1774,F,60+,693
P1775,F,60+,694
P1776,F,26-35,695
P1777,M,<18,696
P1778,F,46-60,697
P1779,F,60+,698
P1780,M,60+,699
P1781,M,36-45,700
P1782,F,60+,701
P1783,F,18-25,702
P1785,F,60+,703
P1786,M,60+,704
P1788,F,<18,705
P1789,M,<18,706
P1790,F,<18,707
P1791,M,46-60,708
P1792,M,18-25,709
P1793,M,60+,710
P1794,F,60+,711
P1795,F,26-35,712
P1797,F,46-60,713
P1798,F,60+,714
P1799,M,46-60,715
P1800,M,18-25,716
P1801,F,18-25,717
P1802,M,<18,718
P1804,F,36-45,719
P1805,F,60+,720
P1806,F,18-25,721
P1807,M,18-25,722
P1808,M,60+,723
P1810,M,<18,724
P1811,F,<18,725
P1812,F,46-60,726
P1813,M,26-35,727
P1814,F,46-60,728
P1815,F,60+,729
P1817,M,26-35,730
P1818,M,60+,731
P1819,M,26-35,732
P1820,F,46-60,733
P1821,M,60+,734
P1823,M,60+,735
P1825,M,60+,736
P1826,M,60+,737
P1827,F,26-35,738
P1828,F,36-45,739
P1829,M,<18,740
P1830,M,<18,741
P1831,F,46-60,742
P1832,F,60+,743
P1834,M,46-60,744
P1836,M,<18,745
P1837,F,26-35,746
P1838,M,60+,747
P1839,M,60+,748
P1841,M,<18,749
P1842,F,26-35,750
P1843,F,<18,751
P1844,F,46-60,752
P1845,M,46-60,753
P1846,M,<18,754
P1847,F,<18,755
P1848,M,18-25,756
P1849,M,18-25,757
P1850,F,36-45,758
P1851,F,<18,759
P1852,F,60+,760
P1853,F,60+,761
P1854,M,26-35,762
P1855,M,60+,763
P1856,F,36-45,764
P1857,M,46-60,765
P1859,F,60+,766
P1860,M,36-45,767
P1861,F,18-25,768
P1862,M,<18,769
P1863,M,<18,770
P1864,M,60+,771
P1865,M,18-25,772
P1866,F,60+,773
P1867,M,<18,774
P1868,F,60+,775
P1869,F,18-25,776
P1870,F,60+,777
P1871,F,26-35,778
P1872,M,<18,779
P1873,M,36-45,780
P1874,F,60+,781
P1875,F,36-45,782
P1876,M,36-45,783
P1877,F,<18,784
P1878,M,46-60,785
P1879,F,26-35,786
P1880,M,60+,787
P1881,F,46-60,788
P1882,F,46-60,789
P1883,M,46-60,790
P1884,F,60+,791
P1885,F,26-35,792
P1886,M,46-60,793
P1887,F,18-25,794
P1888,M,18-25,795
P1889,M,60+,796
P1890,F,60+,797
P1891,F,<18,798
P1892,F,60+,799
P1893,F,60+,800
P1894,F,60+,801
P1895,F,18-25,802
P1896,F,46-60,803
P1897,M,<18,804
P1898,F,<18,805
P1899,M,26-35,806
P1900,F,36-45,807
P1901,F,36-45,808
P1902,M,18-25,809
P1903,F,<18,810
P1905,M,60+,811
P1906,F,60+,812
P1907,F,<18,813
P1908,F,60+,814
P1909,M,<18,815
P1911,F,60+,816
P1912,F,46-60,817
P1913,F,60+,818
P1914,M,60+,819
P1915,M,60+,820
P1916,F,<18,821
P1917,F,26-35,822
P1918,M,46-60,823
P1920,F,36-45,824
P1921,M,<18,825
P1922,F,60+,826
P1923,M,26-35,827
P1924,M,60+,828
P1925,M,18-25,829
P1926,M,60+,830
P1927,F,18-25,831
P1928,M,<18,832
P1929,M,46-60,833
P1930,F,<18,834
P1931,M,<18,835
P1932,M,60+,836
P1933,F,36-45,837
P1934,M,36-45,838
P1936,F,60+,839
P1937,F,<18,840
P1938,F,26-35,841
P1940,F,46-60,842
P1941,M,<18,843
P1942,M,<18,844
P1943,M,18-25,845
P1944,M,<18,846
P1945,M,36-45,847
P1947,M,<18,848
P1948,M,36-45,849
P1949,M,<18,850
P1950,M,60+,851
P1952,F,60+,852
P1953,F,60+,853
P1954,M,<18,854
P1958,M,18-25,855
P1959,M,36-45,856
P1960,M,26-35,857
P1961,M,46-60,858
P1962,F,60+,859
P1963,F,60+,860
P1964,F,46-60,861
P1965,F,46-60,862
P1966,M,60+,863
P1967,M,60+,864
P1969,F,26-35,865
P1970,M,60+,866
P1971,M,26-35,867
P1972,F,<18,868
P1973,F,36-45,869
P1974,M,60+,870
P1975,M,18-25,871
P1976,M,46-60,872
P1977,M,60+,873
P1978,M,60+,874
P1979,M,<18,875
P1980,F,<18,876
P1981,F,46-60,877
P1982,F,26-35,878
P1983,M,26-35,879
P1984,F,60+,880
P1985,M,36-45,881
P1986,M,<18,882
P1987,F,60+,883
P1988,M,60+,884
P1989,M,26-35,885
P1990,F,60+,886
P1991,F,<18,887
P1992,F,60+,888
P1993,M,36-45,889
P1994,F,60+,890
P1995,F,18-25,891
P1996,M,36-45,892
P1997,F,60+,893
P1998,F,36-45,894
P1999,F,<18,895
